PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
NOR,1,f,72,1,E,1,1,1847,11,O,2208,.,.,.,1
NOR,1,f,73,1,E,1,1,1847,11,O,1827,.,.,.,1
NOR,1,f,74,1,E,1,1,1847,11,O,1871,.,.,.,1
NOR,1,f,75,1,E,1,1,1847,11,O,1887,.,.,.,1
NOR,1,f,76,1,E,1,1,1847,11,O,1728,.,.,.,1
NOR,1,f,77,1,E,1,1,1847,11,O,1605,.,.,.,1
NOR,1,f,78,1,E,1,1,1847,11,O,1357,.,.,.,1
NOR,1,f,79,1,E,1,1,1847,11,O,1310,.,.,.,1
NOR,1,f,80,1,E,1,1,1847,11,O,1055,.,.,.,1
NOR,1,f,81,1,E,1,1,1847,11,O,1142,.,.,.,1
NOR,1,f,82,1,E,1,1,1847,11,O,980,.,.,.,1
NOR,1,f,83,1,E,1,1,1847,11,O,785,.,.,.,1
NOR,1,f,84,1,E,1,1,1847,11,O,653,.,.,.,1
NOR,1,f,85,1,E,1,1,1847,11,O,552,.,.,.,1
NOR,1,f,86,1,E,1,1,1847,11,O,467,.,.,.,1
NOR,1,f,87,1,E,1,1,1847,11,O,343,.,.,.,1
NOR,1,f,88,1,E,1,1,1847,11,O,281,.,.,.,1
NOR,1,f,89,1,E,1,1,1847,11,O,234,.,.,.,1
NOR,1,f,90,1,E,1,1,1847,11,O,152,.,.,.,1
NOR,1,f,91,1,E,1,1,1847,11,O,132,.,.,.,1
NOR,1,f,92,1,E,1,1,1847,11,O,93,.,.,.,1
NOR,1,f,93,1,E,1,1,1847,11,O,80,.,.,.,1
NOR,1,f,94,1,E,1,1,1847,11,O,66,.,.,.,1
NOR,1,f,95,1,E,1,1,1847,11,O,62,.,.,.,1
NOR,1,f,96,1,E,1,1,1847,11,O,41,.,.,.,1
NOR,1,f,97,1,E,1,1,1847,11,O,30,.,.,.,1
NOR,1,f,98,1,E,1,1,1847,11,O,25,.,.,.,1
NOR,1,f,99,1,E,1,1,1847,11,O,27,.,.,.,1
NOR,1,f,100,1,E,1,1,1847,11,O,12,.,.,.,1
NOR,1,f,101,1,E,1,1,1847,11,O,0,.,.,.,1
NOR,1,f,102,1,E,1,1,1847,11,O,0,.,.,.,1
NOR,1,f,103,1,E,1,1,1847,11,O,0,.,.,.,1
NOR,1,f,104,1,E,1,1,1847,11,O,0,.,.,.,1
NOR,1,f,105,1,E,1,1,1847,11,O,0,.,.,.,1
NOR,1,f,106,1,E,1,1,1847,11,O,0,.,.,.,1
NOR,1,m,0,1,E,1,1,1847,11,O,19544,.,.,.,1
NOR,1,m,1,1,E,1,1,1847,11,O,17265,.,.,.,1
NOR,1,m,2,1,E,1,1,1847,11,O,16232,.,.,.,1
NOR,1,m,3,1,E,1,1,1847,11,O,16677,.,.,.,1
NOR,1,m,4,1,E,1,1,1847,11,O,16958,.,.,.,1
NOR,1,m,5,1,E,1,1,1847,11,O,16110,.,.,.,1
NOR,1,m,6,1,E,1,1,1847,11,O,14227,.,.,.,1
NOR,1,m,7,1,E,1,1,1847,11,O,13430,.,.,.,1
NOR,1,m,8,1,E,1,1,1847,11,O,13706,.,.,.,1
NOR,1,m,9,1,E,1,1,1847,11,O,13880,.,.,.,1
NOR,1,m,10,1,E,1,1,1847,11,O,13871,.,.,.,1
NOR,1,m,11,1,E,1,1,1847,11,O,15044,.,.,.,1
NOR,1,m,12,1,E,1,1,1847,11,O,14281,.,.,.,1
NOR,1,m,13,1,E,1,1,1847,11,O,13628,.,.,.,1
NOR,1,m,14,1,E,1,1,1847,11,O,13327,.,.,.,1
NOR,1,m,15,1,E,1,1,1847,11,O,13372,.,.,.,1
NOR,1,m,16,1,E,1,1,1847,11,O,13547,.,.,.,1
NOR,1,m,17,1,E,1,1,1847,11,O,13920,.,.,.,1
NOR,1,m,18,1,E,1,1,1847,11,O,12802,.,.,.,1
NOR,1,m,19,1,E,1,1,1847,11,O,12690,.,.,.,1
NOR,1,m,20,1,E,1,1,1847,11,O,13552,.,.,.,1
NOR,1,m,21,1,E,1,1,1847,11,O,12945,.,.,.,1
NOR,1,m,22,1,E,1,1,1847,11,O,11989,.,.,.,1
NOR,1,m,23,1,E,1,1,1847,11,O,12463,.,.,.,1
NOR,1,m,24,1,E,1,1,1847,11,O,11899,.,.,.,1
NOR,1,m,25,1,E,1,1,1847,11,O,12201,.,.,.,1
NOR,1,m,26,1,E,1,1,1847,11,O,11466,.,.,.,1
NOR,1,m,27,1,E,1,1,1847,11,O,10718,.,.,.,1
NOR,1,m,28,1,E,1,1,1847,11,O,10125,.,.,.,1
NOR,1,m,29,1,E,1,1,1847,11,O,10339,.,.,.,1
NOR,1,m,30,1,E,1,1,1847,11,O,10789,.,.,.,1
NOR,1,m,31,1,E,1,1,1847,11,O,9079,.,.,.,1
NOR,1,m,32,1,E,1,1,1847,11,O,7151,.,.,.,1
NOR,1,m,33,1,E,1,1,1847,11,O,7421,.,.,.,1
NOR,1,m,34,1,E,1,1,1847,11,O,8267,.,.,.,1
NOR,1,m,35,1,E,1,1,1847,11,O,7561,.,.,.,1
NOR,1,m,36,1,E,1,1,1847,11,O,7265,.,.,.,1
NOR,1,m,37,1,E,1,1,1847,11,O,5883,.,.,.,1
NOR,1,m,38,1,E,1,1,1847,11,O,7221,.,.,.,1
NOR,1,m,39,1,E,1,1,1847,11,O,7609,.,.,.,1
NOR,1,m,40,1,E,1,1,1847,11,O,7648,.,.,.,1
NOR,1,m,41,1,E,1,1,1847,11,O,7269,.,.,.,1
NOR,1,m,42,1,E,1,1,1847,11,O,6441,.,.,.,1
NOR,1,m,43,1,E,1,1,1847,11,O,6624,.,.,.,1
NOR,1,m,44,1,E,1,1,1847,11,O,6007,.,.,.,1
NOR,1,m,45,1,E,1,1,1847,11,O,6670,.,.,.,1
NOR,1,m,46,1,E,1,1,1847,11,O,6611,.,.,.,1
NOR,1,m,47,1,E,1,1,1847,11,O,6510,.,.,.,1
NOR,1,m,48,1,E,1,1,1847,11,O,6272,.,.,.,1
NOR,1,m,49,1,E,1,1,1847,11,O,6197,.,.,.,1
NOR,1,m,50,1,E,1,1,1847,11,O,5798,.,.,.,1
NOR,1,m,51,1,E,1,1,1847,11,O,5852,.,.,.,1
NOR,1,m,52,1,E,1,1,1847,11,O,5907,.,.,.,1
NOR,1,m,53,1,E,1,1,1847,11,O,5817,.,.,.,1
NOR,1,m,54,1,E,1,1,1847,11,O,5753,.,.,.,1
NOR,1,m,55,1,E,1,1,1847,11,O,5262,.,.,.,1
NOR,1,m,56,1,E,1,1,1847,11,O,4996,.,.,.,1
NOR,1,m,57,1,E,1,1,1847,11,O,4619,.,.,.,1
NOR,1,m,58,1,E,1,1,1847,11,O,4486,.,.,.,1
